id;name;description
1;person;Человек / пешеход
2;cyclist;Велосипедист
3;motorcyclist;Мотоциклист
4;cow;Корова / бык
5;sheep;Овца / коза
6;horse;Лошадь
7;pig;Свинья
8;dog;Собака
9;cat;Кошка
10;chicken;Курица, индейка
11;duck;Гусь, утка
12;powerpole;Столб электропередач
13;lamppost;Столб фонарный
14;concreteblock;Бетонный блок
15;tree;Дерево (растущее)
16;timber;Дерево (упавшее / лесозаготовка)
17;stump;Пень
18;haystack;Стог сена
19;water;Большая лужа / водоём
20;car;Легковой автомобиль
21;truck;Грузовой автомобиль
22;tractor;Трактор
23;combine;Комбайн
24;hangar;Ангар
25;garage;Гараж
26;house;Жилой дом
27;fence;Забор
28;barrier;Шлагбаум
29;trafficsign;Дорожный знак
30;trafficlight;Светофор
31;asphalt;Дорога асфальтовая
32;cement;Дорога цементно-бетонная
33;gravel;Дорога щебеночная  / гравий
34;sand;Дорога песчаная
35;ground;Земля, плотный чернозём
36;mud;Грязь / мягкий грунт
37;snow;Снег
38;pit;Яма / ухаб
39;track;Колея
40;crops;Посевы
41;grass;Высокая трава / цветы
